"filename", "language", "Go", "JavaScript", "JSON", "Go Module File", "Go Checksum File", "Markdown", "HTML", "YAML", "CSS", "JavaScript JSX", "SVG", "comment", "blank", "total"
"/home/jakeb/go/src/github.com/final-year-project/src/client/__tests/sum.test.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/jakeb/go/src/github.com/final-year-project/src/client/babel.config.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 31
"/home/jakeb/go/src/github.com/final-year-project/src/client/index.html", "HTML", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 1, 30
"/home/jakeb/go/src/github.com/final-year-project/src/client/jest.config.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 11
"/home/jakeb/go/src/github.com/final-year-project/src/client/package.json", "JSON", 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 68
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/clear-day.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/humidity.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/not-available.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/sunrise.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/sunset.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/thermometer-colder.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/thermometer-warmer.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index-1.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index-10.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index-11.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index-2.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index-3.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index-4.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index-5.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index-6.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index-7.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index-8.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index-9.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/uv-index.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/wind-beaufort-0.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/wind-beaufort-1.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/wind-beaufort-10.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/wind-beaufort-11.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/wind-beaufort-12.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/wind-beaufort-2.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/wind-beaufort-3.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/wind-beaufort-4.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/wind-beaufort-5.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/jakeb/go/src/github.com/final-year-project/src/client/public/img/all/wind-beaufort-6.svg", "SVG", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
